
CommandType     Name                                               Version    Source
Alias           Set-AdlStoreFirewallRule                           1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreItemAcl                                1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreItemAclEntry                           1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreItemExpiry                             1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreItemOwner                              1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreItemPermission                         1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreTrustedIdProvider                      1.3.0      Az.DataLakeStore
Alias           Set-AdlStoreVirtualNetworkRule                     1.3.0      Az.DataLakeStore
Alias           Set-ASRAlertSetting                                6.7.1      Az.RecoveryServices
Alias           Set-ASRNotificationSetting                         6.7.1      Az.RecoveryServices
Alias           Set-ASRReplicationProtectedItem                    6.7.1      Az.RecoveryServices
Alias           Set-ASRVaultContext                                6.7.1      Az.RecoveryServices
Alias           Set-ASRVaultSettings                               6.7.1      Az.RecoveryServices
Alias           Set-AzADApplication                                6.16.0     Az.Resources
Alias           Set-AzADServicePrincipal                           6.16.0     Az.Resources
Alias           Set-AzADUser                                       6.16.0     Az.Resources
Alias           Set-AzApplicationGatewayBackendHttpSettings        7.4.0      Az.Network
Alias           Set-AzAs                                           1.1.4      Az.AnalysisServices
Alias           Set-AzConfig                                       2.16.0     Az.Accounts
Alias           Set-AzEventHubNamespaceV2                          4.2.0      Az.EventHub
Alias           Set-AzIotHubMsgEnrich                              2.7.5      Az.IotHub
Alias           Set-AzIotHubTracing                                2.7.5      Az.IotHub
Alias           Set-AzIotHubVC                                     2.7.5      Az.IotHub
Alias           Set-AzKeyVaultCertificateAttribute                 5.2.1      Az.KeyVault
Alias           Set-AzKeyVaultKey                                  5.2.1      Az.KeyVault
Alias           Set-AzKeyVaultKeyAttribute                         5.2.1      Az.KeyVault
Alias           Set-AzKeyVaultRoleDefinition                       5.2.1      Az.KeyVault
Alias           Set-AzKeyVaultSecretAttribute                      5.2.1      Az.KeyVault
Alias           Set-AzNotificationHubAuthorizationRules            1.1.2      Az.NotificationHubs
Alias           Set-AzNotificationHubsNamespaceAuthorizationRules  1.1.2      Az.NotificationHubs
Alias           Set-AzRecoveryServicesAsrNotificationSetting       6.7.1      Az.RecoveryServices
Alias           Set-AzRecoveryServicesAsrVaultSettings             6.7.1      Az.RecoveryServices
Alias           Set-AzRedisCacheDiagnostics                        1.9.0      Az.RedisCache
Alias           Set-AzSecurityAutomation                           1.6.0      Az.Security
Alias           Set-AzServiceBusNamespaceV2                        3.0.0      Az.ServiceBus
Alias           Set-AzSqlDatabaseLongTermRetentionPolicy           4.14.0     Az.Sql
Alias           Set-AzSqlInstanceLink                              4.14.0     Az.Sql
Alias           Set-AzSqlInstanceTDEProtector                      4.14.0     Az.Sql
Alias           Set-AzSqlServerTrustGroup                          4.14.0     Az.Sql
Alias           Set-AzSynapseKqlScript                             3.0.5      Az.Synapse
Alias           Set-AzSynapseManagedPrivateEndpoint                3.0.5      Az.Synapse
Alias           Set-AzSynapseSparkConfiguration                    3.0.5      Az.Synapse
Alias           Set-AzSynapseSqlAudit                              3.0.5      Az.Synapse
Alias           Set-AzSynapseSqlPoolAudit                          3.0.5      Az.Synapse
Alias           Start-ASRApplyRecoveryPoint                        6.7.1      Az.RecoveryServices
Alias           Start-ASRCancelFailover                            6.7.1      Az.RecoveryServices
Alias           Start-ASRCancelFailoverJob                         6.7.1      Az.RecoveryServices
Alias           Start-ASRCommitFailover                            6.7.1      Az.RecoveryServices
Alias           Start-ASRCommitFailoverJob                         6.7.1      Az.RecoveryServices
Alias           Start-ASRFO                                        6.7.1      Az.RecoveryServices
Alias           Start-ASRPFO                                       6.7.1      Az.RecoveryServices
Alias           Start-ASRPlannedFailoverJob                        6.7.1      Az.RecoveryServices
Alias           Start-ASRResynchronizeReplicationJob               6.7.1      Az.RecoveryServices
Alias           Start-ASRResyncJob                                 6.7.1      Az.RecoveryServices
Alias           Start-ASRSwitchAppliance                           6.7.1      Az.RecoveryServices
Alias           Start-ASRSwitchProcessServerJob                    6.7.1      Az.RecoveryServices
Alias           Start-ASRTestFailoverCleanupJob                    6.7.1      Az.RecoveryServices
Alias           Start-ASRTestFailoverJob                           6.7.1      Az.RecoveryServices
Alias           Start-ASRTFO                                       6.7.1      Az.RecoveryServices
Alias           Start-ASRUnplannedFailoverJob                      6.7.1      Az.RecoveryServices
Alias           Start-CopyAzureStorageBlob                         6.1.2      Az.Storage
Alias           Stop-AdlJob                                        1.0.3      Az.DataLakeAnalytics
Alias           Stop-ASRJob                                        6.7.1      Az.RecoveryServices
Alias           Stop-AzSubscriptionDeployment                      6.16.0     Az.Resources
Alias           Stop-CopyAzureStorageBlob                          6.1.2      Az.Storage
Alias           Submit-AdlJob                                      1.0.3      Az.DataLakeAnalytics
Alias           Suspend-AzAs                                       1.1.4      Az.AnalysisServices
Alias           Swap-AzWebAppSlot                                  3.2.0      Az.Websites
Alias           Sync-AzAsInstance                                  1.1.4      Az.AnalysisServices
Alias           Sync-AzMediaServiceStorageKeys                     1.1.2      Az.Media
Alias           Sync-AzureAsInstance                               1.1.4      Az.AnalysisServices
Alias           Test-AdlAnalyticsAccount                           1.0.3      Az.DataLakeAnalytics
Alias           Test-AdlCatalogItem                                1.0.3      Az.DataLakeAnalytics
Alias           Test-AdlStore                                      1.3.0      Az.DataLakeStore
Alias           Test-AdlStoreItem                                  1.3.0      Az.DataLakeStore
Alias           Test-AzAs                                          1.1.4      Az.AnalysisServices
Alias           Test-AzSignalR                                     2.0.0      Az.SignalR
Alias           Test-AzSubscriptionDeployment                      6.16.0     Az.Resources
Alias           Update-AdlAnalyticsComputePolicy                   1.0.3      Az.DataLakeAnalytics
Alias           Update-ASRMobilityService                          6.7.1      Az.RecoveryServices
Alias           Update-ASRPolicy                                   6.7.1      Az.RecoveryServices
Alias           Update-ASRProtectionContainerMapping               6.7.1      Az.RecoveryServices
Alias           Update-ASRProtectionDirection                      6.7.1      Az.RecoveryServices
Alias           Update-ASRRecoveryPlan                             6.7.1      Az.RecoveryServices
Alias           Update-ASRServicesProvider                         6.7.1      Az.RecoveryServices
Alias           Update-ASRvCenter                                  6.7.1      Az.RecoveryServices
Alias           Update-AzFederatedIdentityCredentials              1.2.0      Az.ManagedServiceIdentity
Alias           Update-AzResourceMoverMoveResource                 1.2.0      Az.ResourceMover
Alias           Update-AzStorageMoverSmbFileShareEndpoint          1.3.0      Az.StorageMover
Alias           Validate-AzDataShare                               1.0.1      Az.DataShare
Alias           Wait-AdlJob                                        1.0.3      Az.DataLakeAnalytics
Function        Add-AzADAppPermission                              6.16.0     Az.Resources
Function        Add-AzADGroupMember                                6.16.0     Az.Resources
Function        Add-AzContainerInstanceOutput                      4.0.0      Az.ContainerInstance
Function        Add-AzElasticSanVolumeGroupNetworkRule             1.0.0      Az.ElasticSan
Function        Add-AzKeyVaultManagedHsmRegion                     5.2.1      Az.KeyVault
Function        Add-AzKustoClusterLanguageExtension                2.3.0      Az.Kusto
Function        Add-AzKustoDatabasePrincipal                       2.3.0      Az.Kusto
Function        Add-AzResourceMoverMoveResource                    1.2.0      Az.ResourceMover
Function        Add-AzStackHCIVMAttestation                        2.3.1      Az.StackHCI
Function        Add-AzStackHCIVMVirtualMachineDataDisk             1.0.1      Az.StackHCIVM
